,$L_2$ norm bound $\delta$,Target Function,Cost
0,0.3,Original,108.03889830397306
1,0.3,max($u_t$) Adv,117.81460279932114
2,0.3,$\|u\|_1$ Adv,187.39600020562025
3,0.3,Random,108.20649469843778
4,0.3,Original,11527.606340505712
5,0.3,max($u_t$) Adv,11527.606340851496
6,0.3,$\|u\|_1$ Adv,11527.606340986127
7,0.3,Random,11527.606340490893
8,0.3,Original,159.57141735496043
9,0.3,max($u_t$) Adv,166.9797229509541
10,0.3,$\|u\|_1$ Adv,238.24848577560553
11,0.3,Random,160.71281739462054
12,0.3,Original,223.24767079091274
13,0.3,max($u_t$) Adv,231.66218265224964
14,0.3,$\|u\|_1$ Adv,301.9243374972712
15,0.3,Random,225.24467409522902
16,0.3,Original,137.74706677302837
17,0.3,max($u_t$) Adv,139.11907139540438
18,0.3,$\|u\|_1$ Adv,216.42380961340487
19,0.3,Random,141.23388603692004
20,0.3,Original,90.90912332553202
21,0.3,max($u_t$) Adv,100.6849482309745
22,0.3,$\|u\|_1$ Adv,170.26599898220297
23,0.3,Random,94.08431399789876
24,0.3,Original,15261.132818945494
25,0.3,max($u_t$) Adv,15261.13281910575
26,0.3,$\|u\|_1$ Adv,15261.132819281944
27,0.3,Random,15261.132818967475
28,0.3,Original,2262640.8631070135
29,0.3,max($u_t$) Adv,2262640.8605227023
30,0.3,$\|u\|_1$ Adv,2262640.8646487473
31,0.3,Random,2262640.861226108
32,0.3,Original,33762.1913369835
33,0.3,max($u_t$) Adv,33762.19133742951
34,0.3,$\|u\|_1$ Adv,33762.191339313984
35,0.3,Random,33762.1913373934
36,0.3,Original,1206.0948975860113
37,0.3,max($u_t$) Adv,1206.0948976412546
38,0.3,$\|u\|_1$ Adv,1206.0948976264588
39,0.3,Random,1206.094897586881
40,1.0,Original,108.03889830397306
41,1.0,max($u_t$) Adv,216.65805231731872
42,1.0,$\|u\|_1$ Adv,989.7812506985789
43,1.0,Random,109.901080703305
44,1.0,Original,11527.606340505712
45,1.0,max($u_t$) Adv,11527.606341847992
46,1.0,$\|u\|_1$ Adv,11527.606342302555
47,1.0,Random,11527.606340433964
48,1.0,Original,159.57141735496043
49,1.0,max($u_t$) Adv,275.4251221240478
50,1.0,$\|u\|_1$ Adv,1033.761619603858
51,1.0,Random,172.2536400159882
52,1.0,Original,223.24767079091274
53,1.0,max($u_t$) Adv,320.46504429350057
54,1.0,$\|u\|_1$ Adv,1097.4399744914106
55,1.0,Random,245.4365964109449
56,1.0,Original,137.74706677302837
57,1.0,max($u_t$) Adv,156.70991439370556
58,1.0,$\|u\|_1$ Adv,1011.9330259319354
59,1.0,Random,176.48950304173619
60,1.0,Original,90.90912332553202
61,1.0,max($u_t$) Adv,199.53117790191632
62,1.0,$\|u\|_1$ Adv,972.6545731457412
63,1.0,Random,126.14340446122927
64,1.0,Original,15261.132818945494
65,1.0,max($u_t$) Adv,15261.132819625891
66,1.0,$\|u\|_1$ Adv,15261.132820019986
67,1.0,Random,15261.132819016195
68,1.0,Original,2262640.8631070135
69,1.0,max($u_t$) Adv,2262640.860628026
70,1.0,$\|u\|_1$ Adv,2262640.8632686622
71,1.0,Random,2262640.861361569
72,1.0,Original,33762.1913369835
73,1.0,max($u_t$) Adv,33762.191341001206
74,1.0,$\|u\|_1$ Adv,33762.191349988214
75,1.0,Random,33762.19133897244
76,1.0,Original,1206.0948975860113
77,1.0,max($u_t$) Adv,1206.0948977751584
78,1.0,$\|u\|_1$ Adv,1206.0948986018384
79,1.0,Random,1206.094897588902
80,3.0,Original,108.03889830397306
81,3.0,max($u_t$) Adv,1085.6612274479407
82,3.0,$\|u\|_1$ Adv,8043.74224437905
83,3.0,Random,124.80777505650107
84,3.0,Original,11527.606340505712
85,3.0,max($u_t$) Adv,11527.606353933816
86,3.0,$\|u\|_1$ Adv,11527.606371394517
87,3.0,Random,11527.606340758457
88,3.0,Original,159.57141735496043
89,3.0,max($u_t$) Adv,1137.177921290272
90,3.0,$\|u\|_1$ Adv,8027.278735925211
91,3.0,Random,273.71142129970536
92,3.0,Original,223.24767079091274
93,3.0,max($u_t$) Adv,294.9892547888587
94,3.0,$\|u\|_1$ Adv,8090.970581806374
95,3.0,Random,422.9480013795136
96,3.0,Original,137.74706677302837
97,3.0,max($u_t$) Adv,308.4221737724153
98,3.0,$\|u\|_1$ Adv,8005.420200989092
99,3.0,Random,486.42899312213643
100,3.0,Original,90.90912332553202
101,3.0,max($u_t$) Adv,1068.4594033447534
102,3.0,$\|u\|_1$ Adv,8026.599146484975
103,3.0,Random,406.7470985941567
104,3.0,Original,15261.132818945494
105,3.0,max($u_t$) Adv,15261.132821968004
106,3.0,$\|u\|_1$ Adv,15261.132823973052
107,3.0,Random,15261.132819197843
108,3.0,Original,2262640.8631070135
109,3.0,max($u_t$) Adv,2262640.8609009665
110,3.0,$\|u\|_1$ Adv,2262640.860771397
111,3.0,Random,2262640.8611946544
112,3.0,Original,33762.1913369835
113,3.0,max($u_t$) Adv,33762.191361002
114,3.0,$\|u\|_1$ Adv,33762.19132786825
115,3.0,Random,33762.19134760978
116,3.0,Original,1206.0948975860113
117,3.0,max($u_t$) Adv,1206.0948987543075
118,3.0,$\|u\|_1$ Adv,3755.645382897202
119,3.0,Random,1206.0948975947645
