,$L_2$ norm bound $\delta$,Target Function,uabs
0,0.3,Original,72.63152290906697
1,0.3,max($u_t$) Adv,73.08010171205586
2,0.3,$\|u\|_1$ Adv,74.71961966355693
3,0.3,Random,72.75539339695239
4,0.3,Original,49.98792887086753
5,0.3,max($u_t$) Adv,49.9926926235707
6,0.3,$\|u\|_1$ Adv,49.99884819656327
7,0.3,Random,49.99921862542132
8,0.3,Original,88.30297992817117
9,0.3,max($u_t$) Adv,88.88214139910843
10,0.3,$\|u\|_1$ Adv,90.40158459639532
11,0.3,Random,88.40200173696563
12,0.3,Original,104.49951466293496
13,0.3,max($u_t$) Adv,105.0786720975549
14,0.3,$\|u\|_1$ Adv,106.59812195963623
15,0.3,Random,104.3471416668471
16,0.3,Original,81.3735582458561
17,0.3,max($u_t$) Adv,81.93761229718764
18,0.3,$\|u\|_1$ Adv,83.47214860472552
19,0.3,Random,80.79983349234864
20,0.3,Original,66.6345956150269
21,0.3,max($u_t$) Adv,67.0832081455507
22,0.3,$\|u\|_1$ Adv,68.72271745957731
23,0.3,Random,67.03759399115496
24,0.3,Original,49.93414127032509
25,0.3,max($u_t$) Adv,49.99804573130717
26,0.3,$\|u\|_1$ Adv,50.070331517810935
27,0.3,Random,49.99572866612108
28,0.3,Original,248.76131633341785
29,0.3,max($u_t$) Adv,250.28354006915544
30,0.3,$\|u\|_1$ Adv,251.20594886939702
31,0.3,Random,248.25961843734245
32,0.3,Original,52.12498236119877
33,0.3,max($u_t$) Adv,51.42400616659121
34,0.3,$\|u\|_1$ Adv,51.03874951720381
35,0.3,Random,51.0160466650089
36,0.3,Original,49.998834255398094
37,0.3,max($u_t$) Adv,50.00015792696281
38,0.3,$\|u\|_1$ Adv,50.00218928981591
39,0.3,Random,50.00082469033842
40,1.0,Original,72.63152290906697
41,1.0,max($u_t$) Adv,74.12685715765585
42,1.0,$\|u\|_1$ Adv,79.59190102851173
43,1.0,Random,73.04448583609299
44,1.0,Original,49.98792887086753
45,1.0,max($u_t$) Adv,49.99883998392482
46,1.0,$\|u\|_1$ Adv,50.00379380820257
47,1.0,Random,49.99968336011913
48,1.0,Original,88.30297992817117
49,1.0,max($u_t$) Adv,90.2335146172457
50,1.0,$\|u\|_1$ Adv,95.29832161698818
51,1.0,Random,88.63303939109095
52,1.0,Original,104.49951466293496
53,1.0,max($u_t$) Adv,106.42999690548676
54,1.0,$\|u\|_1$ Adv,111.4948616970728
55,1.0,Random,103.99158341953083
56,1.0,Original,81.3735582458561
57,1.0,max($u_t$) Adv,83.28200199598902
58,1.0,$\|u\|_1$ Adv,88.36889572042091
59,1.0,Random,79.4611521202142
60,1.0,Original,66.6345956150269
61,1.0,max($u_t$) Adv,68.12998464669546
62,1.0,$\|u\|_1$ Adv,73.59499907663577
63,1.0,Random,68.01629157490349
64,1.0,Original,49.93414127032509
65,1.0,max($u_t$) Adv,50.006651618200806
66,1.0,$\|u\|_1$ Adv,49.9835960783892
67,1.0,Random,49.98778838397753
68,1.0,Original,248.76131633341785
69,1.0,max($u_t$) Adv,249.35501770683655
70,1.0,$\|u\|_1$ Adv,250.78960520734088
71,1.0,Random,248.7614395175326
72,1.0,Original,52.12498236119877
73,1.0,max($u_t$) Adv,53.523746005262666
74,1.0,$\|u\|_1$ Adv,52.95755916474434
75,1.0,Random,50.892953701090796
76,1.0,Original,49.998834255398094
77,1.0,max($u_t$) Adv,49.99842115121643
78,1.0,$\|u\|_1$ Adv,50.001296040984364
79,1.0,Random,50.00097928758944
80,3.0,Original,72.63152290906697
81,3.0,max($u_t$) Adv,77.11746882403192
82,3.0,$\|u\|_1$ Adv,93.56842441032215
83,3.0,Random,73.8936736847415
84,3.0,Original,49.98792887086753
85,3.0,max($u_t$) Adv,49.999605062454684
86,3.0,$\|u\|_1$ Adv,50.00409646236071
87,3.0,Random,49.99328059404054
88,3.0,Original,88.30297992817117
89,3.0,max($u_t$) Adv,92.78900626848063
90,3.0,$\|u\|_1$ Adv,109.28899603122774
91,3.0,Random,89.29315289846447
92,3.0,Original,104.49951466293496
93,3.0,max($u_t$) Adv,109.57875595580614
94,3.0,$\|u\|_1$ Adv,125.48553341243634
95,3.0,Random,102.9757029952145
96,3.0,Original,81.3735582458561
97,3.0,max($u_t$) Adv,87.0989657989111
98,3.0,$\|u\|_1$ Adv,102.35957163309268
99,3.0,Random,75.63631649155485
100,3.0,Original,66.6345956150269
101,3.0,max($u_t$) Adv,71.12045936462538
102,3.0,$\|u\|_1$ Adv,87.5158054085382
103,3.0,Random,71.05079800564039
104,3.0,Original,49.93414127032509
105,3.0,max($u_t$) Adv,50.003761146552975
106,3.0,$\|u\|_1$ Adv,49.997149574534056
107,3.0,Random,49.98816689297803
108,3.0,Original,248.76131633341785
109,3.0,max($u_t$) Adv,248.12219802386815
110,3.0,$\|u\|_1$ Adv,250.70644227418194
111,3.0,Random,247.79724256559038
112,3.0,Original,52.12498236119877
113,3.0,max($u_t$) Adv,60.5332518138211
114,3.0,$\|u\|_1$ Adv,60.41367461782895
115,3.0,Random,50.473175124345055
116,3.0,Original,49.998834255398094
117,3.0,max($u_t$) Adv,49.999169482830645
118,3.0,$\|u\|_1$ Adv,61.23349803813579
119,3.0,Random,49.99988833051159
