,$L_2$ norm bound $\delta$,Target Function,umax
0,0.3,Original,1.6806166333119317
1,0.3,max($u_t$) Adv,1.8812436649274897
2,0.3,$\|u\|_1$ Adv,1.7236903425105743
3,0.3,Random,1.7282698672840178
4,0.3,Original,1.0010350378824173
5,0.3,max($u_t$) Adv,1.000336756546619
6,0.3,$\|u\|_1$ Adv,1.0012291781975273
7,0.3,Random,1.000264421773645
8,0.3,Original,1.9287187394088914
9,0.3,max($u_t$) Adv,2.08293433178272
10,0.3,$\|u\|_1$ Adv,1.9716067926543641
11,0.3,Random,1.9284484128940682
12,0.3,Original,2.324952398506092
13,0.3,max($u_t$) Adv,2.4803374895324266
14,0.3,$\|u\|_1$ Adv,2.3678212874148477
15,0.3,Random,2.296958069864202
16,0.3,Original,2.0364781803703864
17,0.3,max($u_t$) Adv,2.1918414195505656
18,0.3,$\|u\|_1$ Adv,2.0782121941275884
19,0.3,Random,2.050911385979674
20,0.3,Original,1.7141200319844947
21,0.3,max($u_t$) Adv,1.9147444653093566
22,0.3,$\|u\|_1$ Adv,1.7571878819068112
23,0.3,Random,1.760772596978579
24,0.3,Original,1.0020177025510681
25,0.3,max($u_t$) Adv,1.0003699356320745
26,0.3,$\|u\|_1$ Adv,1.0033103100005407
27,0.3,Random,1.0003595786580621
28,0.3,Original,10.08588601074351
29,0.3,max($u_t$) Adv,8.056302531256115
30,0.3,$\|u\|_1$ Adv,6.928460429610236
31,0.3,Random,8.769206143249527
32,0.3,Original,1.0672084675134816
33,0.3,max($u_t$) Adv,1.0527307114030882
34,0.3,$\|u\|_1$ Adv,1.0337896942128693
35,0.3,Random,1.0418437672358325
36,0.3,Original,1.000424804347637
37,0.3,max($u_t$) Adv,1.000168562459202
38,0.3,$\|u\|_1$ Adv,1.0001977583298323
39,0.3,Random,1.000099351008382
40,1.0,Original,1.6806166333119317
41,1.0,max($u_t$) Adv,2.34935416996845
42,1.0,$\|u\|_1$ Adv,1.8242851461117384
43,1.0,Random,1.8394786459704746
44,1.0,Original,1.0010350378824173
45,1.0,max($u_t$) Adv,1.0001949773484138
46,1.0,$\|u\|_1$ Adv,1.0004491519508463
47,1.0,Random,1.0002613454063802
48,1.0,Original,1.9287187394088914
49,1.0,max($u_t$) Adv,2.3705771763235077
50,1.0,$\|u\|_1$ Adv,2.071678197342901
51,1.0,Random,1.9535332438564736
52,1.0,Original,2.324952398506092
53,1.0,max($u_t$) Adv,2.801107097724386
54,1.0,$\|u\|_1$ Adv,2.4678870637439387
55,1.0,Random,2.32282576808753
56,1.0,Original,2.0364781803703864
57,1.0,max($u_t$) Adv,2.545341458306662
58,1.0,$\|u\|_1$ Adv,2.175668432046973
59,1.0,Random,2.0897887897849263
60,1.0,Original,1.7141200319844947
61,1.0,max($u_t$) Adv,2.382856150524345
62,1.0,$\|u\|_1$ Adv,1.8577751239036497
63,1.0,Random,1.8696211022884928
64,1.0,Original,1.0020177025510681
65,1.0,max($u_t$) Adv,1.0007125382665678
66,1.0,$\|u\|_1$ Adv,1.0010395622823047
67,1.0,Random,1.0004961757780542
68,1.0,Original,10.08588601074351
69,1.0,max($u_t$) Adv,7.931067060442121
70,1.0,$\|u\|_1$ Adv,7.429418370041811
71,1.0,Random,8.76784140440369
72,1.0,Original,1.0672084675134816
73,1.0,max($u_t$) Adv,1.1103734817136497
74,1.0,$\|u\|_1$ Adv,1.0792349907406393
75,1.0,Random,1.0377477310483751
76,1.0,Original,1.000424804347637
77,1.0,max($u_t$) Adv,1.0000710096163783
78,1.0,$\|u\|_1$ Adv,1.0001738500329191
79,1.0,Random,1.0001721485930641
80,3.0,Original,1.6806166333119317
81,3.0,max($u_t$) Adv,3.6868277555281943
82,3.0,$\|u\|_1$ Adv,2.1116263808412405
83,3.0,Random,2.1571113692713313
84,3.0,Original,1.0010350378824173
85,3.0,max($u_t$) Adv,1.0003610436550459
86,3.0,$\|u\|_1$ Adv,1.0004294975043349
87,3.0,Random,1.000367106439154
88,3.0,Original,1.9287187394088914
89,3.0,max($u_t$) Adv,3.749391527426919
90,3.0,$\|u\|_1$ Adv,2.3575750415327805
91,3.0,Random,2.23979358088297
92,3.0,Original,2.324952398506092
93,3.0,max($u_t$) Adv,3.662116326615629
94,3.0,$\|u\|_1$ Adv,2.753787753650168
95,3.0,Random,2.5090951188788213
96,3.0,Original,2.0364781803703864
97,3.0,max($u_t$) Adv,3.5815009690606234
98,3.0,$\|u\|_1$ Adv,2.454033080183633
99,3.0,Random,2.2147018409978148
100,3.0,Original,1.7141200319844947
101,3.0,max($u_t$) Adv,3.720499572552157
102,3.0,$\|u\|_1$ Adv,2.14512293639442
103,3.0,Random,2.180615222333868
104,3.0,Original,1.0020177025510681
105,3.0,max($u_t$) Adv,1.0004381577355146
106,3.0,$\|u\|_1$ Adv,1.0003384727695397
107,3.0,Random,1.0005898738947134
108,3.0,Original,10.08588601074351
109,3.0,max($u_t$) Adv,8.184832928500965
110,3.0,$\|u\|_1$ Adv,8.32758584713603
111,3.0,Random,8.623245973485217
112,3.0,Original,1.0672084675134816
113,3.0,max($u_t$) Adv,1.2866964897589355
114,3.0,$\|u\|_1$ Adv,1.2682274870061199
115,3.0,Random,1.022855281236756
116,3.0,Original,1.000424804347637
117,3.0,max($u_t$) Adv,1.000146085226648
118,3.0,$\|u\|_1$ Adv,1.8190167066527332
119,3.0,Random,1.0002716117872723
