,$L_2$ norm bound $\delta$,Target Function,Cost
0,2.0,Original,40110.93413440127
1,2.0,max($u_t$) Adv,41667.872269131905
2,2.0,$\|u\|_1$ Adv,59712.34434619866
3,2.0,Random,40391.84543214109
4,2.0,Original,39348.021655211145
5,2.0,max($u_t$) Adv,39898.67865733331
6,2.0,$\|u\|_1$ Adv,58951.79771311266
7,2.0,Random,39612.837498365676
8,2.0,Original,25547.17460946001
9,2.0,max($u_t$) Adv,26478.199732069836
10,2.0,$\|u\|_1$ Adv,45227.55553726327
11,2.0,Random,25583.69830773824
12,2.0,Original,19431.295389785184
13,2.0,max($u_t$) Adv,19813.38253966769
14,2.0,$\|u\|_1$ Adv,39110.15416187137
15,2.0,Random,19527.531227774136
16,2.0,Original,23536.780252041062
17,2.0,max($u_t$) Adv,24738.949215745877
18,2.0,$\|u\|_1$ Adv,43216.98423331743
19,2.0,Random,24205.47513524106
20,2.0,Original,31329.037301212444
21,2.0,max($u_t$) Adv,32388.98824430376
22,2.0,$\|u\|_1$ Adv,50931.6097877811
23,2.0,Random,31683.21783658038
24,2.0,Original,26659.78510550404
25,2.0,max($u_t$) Adv,27096.441265413872
26,2.0,$\|u\|_1$ Adv,46327.47654826447
27,2.0,Random,26810.319645134932
28,2.0,Original,30674.179068266356
29,2.0,max($u_t$) Adv,32124.179428339983
30,2.0,$\|u\|_1$ Adv,50271.843415881696
31,2.0,Random,30767.30951741996
32,2.0,Original,22047.802896759065
33,2.0,max($u_t$) Adv,23577.713240689704
34,2.0,$\|u\|_1$ Adv,41720.69319311776
35,2.0,Random,22229.21863955982
36,2.0,Original,19088.34289234411
37,2.0,max($u_t$) Adv,19840.206465671115
38,2.0,$\|u\|_1$ Adv,38767.06739414997
39,2.0,Random,19381.649589349792
40,7.0,Original,40110.93413440127
41,7.0,max($u_t$) Adv,59159.551191663406
42,7.0,$\|u\|_1$ Adv,280250.74010798667
43,7.0,Random,40716.64209526612
44,7.0,Original,39348.021655211145
45,7.0,max($u_t$) Adv,45856.35051221876
46,7.0,$\|u\|_1$ Adv,279509.85051746335
47,7.0,Random,40150.30294676804
48,7.0,Original,25547.17460946001
49,7.0,max($u_t$) Adv,36806.892825504314
50,7.0,$\|u\|_1$ Adv,266629.4658037361
51,7.0,Random,27752.06778016499
52,7.0,Original,19431.295389785184
53,7.0,max($u_t$) Adv,24061.41633282124
54,7.0,$\|u\|_1$ Adv,260472.48256972342
55,7.0,Random,29305.571464516583
56,7.0,Original,23536.780252041062
57,7.0,max($u_t$) Adv,38394.84967072287
58,7.0,$\|u\|_1$ Adv,264628.4387307761
59,7.0,Random,25437.64150916864
60,7.0,Original,31329.037301212444
61,7.0,max($u_t$) Adv,44249.70377682787
62,7.0,$\|u\|_1$ Adv,271475.17595311854
63,7.0,Random,34161.99184651928
64,7.0,Original,26659.78510550404
65,7.0,max($u_t$) Adv,28115.88886240062
66,7.0,$\|u\|_1$ Adv,267607.1418296872
67,7.0,Random,45803.11171120999
68,7.0,Original,30674.179068266356
69,7.0,max($u_t$) Adv,48228.86314732887
70,7.0,$\|u\|_1$ Adv,270766.28426115995
71,7.0,Random,33257.78081070831
72,7.0,Original,22047.802896759065
73,7.0,max($u_t$) Adv,40696.515004582376
74,7.0,$\|u\|_1$ Adv,263045.92706122395
75,7.0,Random,23014.50323609883
76,7.0,Original,19088.34289234411
77,7.0,max($u_t$) Adv,29122.897241007417
78,7.0,$\|u\|_1$ Adv,260154.3170532246
79,7.0,Random,19983.849539888062
80,20.0,Original,40110.93413440127
81,20.0,max($u_t$) Adv,185144.79151720225
82,20.0,$\|u\|_1$ Adv,2000737.222665407
83,20.0,Random,44196.214025610854
84,20.0,Original,39348.021655211145
85,20.0,max($u_t$) Adv,95257.29200517706
86,20.0,$\|u\|_1$ Adv,2000015.2556683358
87,20.0,Random,47279.22823400552
88,20.0,Original,25547.17460946001
89,20.0,max($u_t$) Adv,75311.40446800312
90,20.0,$\|u\|_1$ Adv,1993020.8999898762
91,20.0,Random,87473.45808979127
92,20.0,Original,19431.295389785184
93,20.0,max($u_t$) Adv,180081.97439193874
94,20.0,$\|u\|_1$ Adv,1988172.5030385638
95,20.0,Random,20885.008388147875
96,20.0,Original,23536.780252041062
97,20.0,max($u_t$) Adv,120532.27219249422
98,20.0,$\|u\|_1$ Adv,1991741.2656315262
99,20.0,Random,74303.08377095788
100,20.0,Original,31329.037301212444
101,20.0,max($u_t$) Adv,104601.8001541868
102,20.0,$\|u\|_1$ Adv,1991931.8269902423
103,20.0,Random,42106.1487199354
104,20.0,Original,26659.78510550404
105,20.0,max($u_t$) Adv,68575.36982728961
106,20.0,$\|u\|_1$ Adv,1992915.145736967
107,20.0,Random,32752.19377619386
108,20.0,Original,30674.179068266356
109,20.0,max($u_t$) Adv,169459.72275524
110,20.0,$\|u\|_1$ Adv,1990947.6952954736
111,20.0,Random,34778.8477808215
112,20.0,Original,22047.802896759065
113,20.0,max($u_t$) Adv,160019.47901370443
114,20.0,$\|u\|_1$ Adv,1989449.5561185398
115,20.0,Random,29299.016621675622
116,20.0,Original,19088.34289234411
117,20.0,max($u_t$) Adv,95406.17209128494
118,20.0,$\|u\|_1$ Adv,1987127.9179365002
119,20.0,Random,21683.82382918555
