,$L_2$ norm bound $\delta$,Scenario,Cost
0,2,Original,40109.93413442373
1,2,Cost Adv,63645.61081870007
2,2,Random,41097.300910523336
3,2,Original,39347.02165524196
4,2,Cost Adv,62882.69833951829
5,2,Random,39428.86159193463
6,2,Original,25540.930464899633
7,2,Cost Adv,49076.607149175936
8,2,Random,26106.155019449234
9,2,Original,19425.577274763957
10,2,Cost Adv,42961.253959040274
11,2,Random,21260.684073400487
12,2,Original,23532.035807310604
13,2,Cost Adv,47067.71249158692
14,2,Random,23644.75800079021
15,2,Original,31328.03730121674
16,2,Cost Adv,54863.71398549308
17,2,Random,31569.832949059324
18,2,Original,26658.71535932785
19,2,Cost Adv,50194.39204360415
20,2,Random,27555.544676168458
21,2,Original,30673.179068170022
22,2,Cost Adv,54208.855752446354
23,2,Random,30761.899491905566
24,2,Original,22043.38289873302
25,2,Cost Adv,45579.059583009344
26,2,Random,22173.71677980802
27,2,Original,19082.075846069492
28,2,Cost Adv,42617.75253034581
29,2,Random,19811.44044654648
30,7,Original,40109.93413442373
31,7,Cost Adv,328421.9735168084
32,7,Random,50391.11307395073
33,7,Original,39347.02165524196
34,7,Cost Adv,327659.06103762664
35,7,Random,40209.78908283152
36,7,Original,25540.930464899633
37,7,Cost Adv,313852.9698472842
38,7,Random,26243.310386891873
39,7,Original,19425.577274763957
40,7,Cost Adv,307737.61665714864
41,7,Random,19777.01443652926
42,7,Original,23532.035807310604
43,7,Cost Adv,311844.0751896952
44,7,Random,23832.717108267752
45,7,Original,31328.03730121674
46,7,Cost Adv,319640.0766836014
47,7,Random,35946.859432182835
48,7,Original,26658.71535932785
49,7,Cost Adv,314970.7547417126
50,7,Random,29283.783883999175
51,7,Original,30673.179068170022
52,7,Cost Adv,318985.21845055476
53,7,Random,32719.605974244045
54,7,Original,22043.38289873302
55,7,Cost Adv,310355.42228111764
56,7,Random,23781.285511642862
57,7,Original,19082.075846069492
58,7,Cost Adv,307394.1152284542
59,7,Random,21611.196843462443
60,20,Original,40109.93413442373
61,20,Cost Adv,2393677.6025620536
62,20,Random,61726.46590346315
63,20,Original,39347.02165524196
64,20,Cost Adv,2392914.690082872
65,20,Random,94232.15511325636
66,20,Original,25540.930464899633
67,20,Cost Adv,2379108.5988925295
68,20,Random,30005.749994690865
69,20,Original,19425.577274763957
70,20,Cost Adv,2372993.2457023943
71,20,Random,72756.10272789748
72,20,Original,23532.035807310604
73,20,Cost Adv,2377099.704234941
74,20,Random,66789.54817685416
75,20,Original,31328.03730121674
76,20,Cost Adv,2384895.705728847
77,20,Random,35961.5876827404
78,20,Original,26658.71535932785
79,20,Cost Adv,2380226.383786958
80,20,Random,40307.44133532731
81,20,Original,30673.179068170022
82,20,Cost Adv,2384240.8474958
83,20,Random,68985.44066521079
84,20,Original,22043.38289873302
85,20,Cost Adv,2375611.051326363
86,20,Random,107159.10637909271
87,20,Original,19082.075846069492
88,20,Cost Adv,2372649.7442737
89,20,Random,22540.563040291683
