,$L_2$ norm bound $\delta$,Target Function,uabs
0,2.0,Original,2182.5837423988123
1,2.0,max($u_t$) Adv,2186.4293355745394
2,2.0,$\|u\|_1$ Adv,2204.4150016088547
3,2.0,Random,2184.1306253665944
4,2.0,Original,2160.8989548242625
5,2.0,max($u_t$) Adv,2164.6954590987298
6,2.0,$\|u\|_1$ Adv,2182.7264853534225
7,2.0,Random,2161.136067780218
8,2.0,Original,1741.3159900770288
9,2.0,max($u_t$) Adv,1745.248125829632
10,2.0,$\|u\|_1$ Adv,1763.1468458739655
11,2.0,Random,1739.6174464846135
12,2.0,Original,1516.8837239098343
13,2.0,max($u_t$) Adv,1520.776284715134
14,2.0,$\|u\|_1$ Adv,1538.6473533618514
15,2.0,Random,1514.4903692085131
16,2.0,Original,1662.19357895131
17,2.0,max($u_t$) Adv,1666.0523713032799
18,2.0,$\|u\|_1$ Adv,1683.9847439422144
19,2.0,Random,1661.9452710642108
20,2.0,Original,1907.8849988627956
21,2.0,max($u_t$) Adv,1911.6691886498866
22,2.0,$\|u\|_1$ Adv,1929.719538854939
23,2.0,Random,1904.7570730644027
24,2.0,Original,1765.8246402849682
25,2.0,max($u_t$) Adv,1769.6987302856207
26,2.0,$\|u\|_1$ Adv,1787.623680074772
27,2.0,Random,1765.0374742464742
28,2.0,Original,1892.0301679529882
29,2.0,max($u_t$) Adv,1895.8134060262503
30,2.0,$\|u\|_1$ Adv,1913.8462634227626
31,2.0,Random,1885.6416659193414
32,2.0,Original,1604.2412767073827
33,2.0,max($u_t$) Adv,1608.1217044861673
34,2.0,$\|u\|_1$ Adv,1626.0232500237655
35,2.0,Random,1604.1299717770603
36,2.0,Original,1500.989226829678
37,2.0,max($u_t$) Adv,1504.925442334451
38,2.0,$\|u\|_1$ Adv,1522.7688632293007
39,2.0,Random,1498.2757353112713
40,7.0,Original,2182.5837423988123
41,7.0,max($u_t$) Adv,2195.9799144531135
42,7.0,$\|u\|_1$ Adv,2258.9389215399724
43,7.0,Random,2174.8134988792162
44,7.0,Original,2160.8989548242625
45,7.0,max($u_t$) Adv,2174.2898388156677
46,7.0,$\|u\|_1$ Adv,2237.237833567515
47,7.0,Random,2160.1015171999356
48,7.0,Original,1741.3159900770288
49,7.0,max($u_t$) Adv,1754.98048698412
50,7.0,$\|u\|_1$ Adv,1817.5689096156539
51,7.0,Random,1733.133409732927
52,7.0,Original,1516.8837239098343
53,7.0,max($u_t$) Adv,1530.5780551142295
54,7.0,$\|u\|_1$ Adv,1593.062546652954
55,7.0,Random,1534.2301771532161
56,7.0,Original,1662.19357895131
57,7.0,max($u_t$) Adv,1675.772267313731
58,7.0,$\|u\|_1$ Adv,1738.4105331139285
59,7.0,Random,1650.6916894651088
60,7.0,Original,1907.8849988627956
61,7.0,max($u_t$) Adv,1921.0260262878091
62,7.0,$\|u\|_1$ Adv,1984.2599610855937
63,7.0,Random,1913.6741778234189
64,7.0,Original,1765.8246402849682
65,7.0,max($u_t$) Adv,1779.3631408939063
66,7.0,$\|u\|_1$ Adv,1842.1604276901287
67,7.0,Random,1766.1830972484945
68,7.0,Original,1892.0301679529882
69,7.0,max($u_t$) Adv,1905.4948316765083
70,7.0,$\|u\|_1$ Adv,1968.3639604948012
71,7.0,Random,1890.424838694962
72,7.0,Original,1604.2412767073827
73,7.0,max($u_t$) Adv,1617.7643826171575
74,7.0,$\|u\|_1$ Adv,1680.450709562163
75,7.0,Random,1597.518323172581
76,7.0,Original,1500.989226829678
77,7.0,max($u_t$) Adv,1514.5222683948914
78,7.0,$\|u\|_1$ Adv,1577.1869429326325
79,7.0,Random,1507.1417446553287
80,20.0,Original,2182.5837423988123
81,20.0,max($u_t$) Adv,2220.4780161396507
82,20.0,$\|u\|_1$ Adv,2400.7169745628726
83,20.0,Random,2187.923308456576
84,20.0,Original,2160.8989548242625
85,20.0,max($u_t$) Adv,2198.1320945839243
86,20.0,$\|u\|_1$ Adv,2379.0154167440014
87,20.0,Random,2158.0119372395343
88,20.0,Original,1741.3159900770288
89,20.0,max($u_t$) Adv,1780.3080331511806
90,20.0,$\|u\|_1$ Adv,1959.0493117438743
91,20.0,Random,1739.9387407865252
92,20.0,Original,1516.8837239098343
93,20.0,max($u_t$) Adv,1555.4899600291637
94,20.0,$\|u\|_1$ Adv,1734.5487175707362
95,20.0,Random,1488.949923650894
96,20.0,Original,1662.19357895131
97,20.0,max($u_t$) Adv,1699.9123333435361
98,20.0,$\|u\|_1$ Adv,1879.958642985377
99,20.0,Random,1668.6464081606641
100,20.0,Original,1907.8849988627956
101,20.0,max($u_t$) Adv,1945.7904248148245
102,20.0,$\|u\|_1$ Adv,2126.037108913285
103,20.0,Random,1898.0013128817022
104,20.0,Original,1765.8246402849682
105,20.0,max($u_t$) Adv,1802.8312821303016
106,20.0,$\|u\|_1$ Adv,1983.9325052985898
107,20.0,Random,1765.878567988515
108,20.0,Original,1892.0301679529882
109,20.0,max($u_t$) Adv,1928.1093150786946
110,20.0,$\|u\|_1$ Adv,2110.1557911284167
111,20.0,Random,1896.3874073386246
112,20.0,Original,1604.2412767073827
113,20.0,max($u_t$) Adv,1641.2664548417933
114,20.0,$\|u\|_1$ Adv,1822.041607666714
115,20.0,Random,1597.3174963834413
116,20.0,Original,1500.989226829678
117,20.0,max($u_t$) Adv,1539.4105394647304
118,20.0,$\|u\|_1$ Adv,1718.670967832501
119,20.0,Random,1465.991674177041
