,$L_2$ norm bound $\delta$,Target Function,umax
0,2.0,Original,21.008743881192316
1,2.0,max($u_t$) Adv,22.182902535984308
2,2.0,$\|u\|_1$ Adv,21.01761199850561
3,2.0,Random,21.142823413527314
4,2.0,Original,21.634422623627717
5,2.0,max($u_t$) Adv,22.80352733528773
6,2.0,$\|u\|_1$ Adv,21.764951797663592
7,2.0,Random,21.813587410917258
8,2.0,Original,16.711387804857548
9,2.0,max($u_t$) Adv,17.71856783027058
10,2.0,$\|u\|_1$ Adv,16.821544864112205
11,2.0,Random,16.81696067320829
12,2.0,Original,14.440328668305263
13,2.0,max($u_t$) Adv,15.480219296188773
14,2.0,$\|u\|_1$ Adv,14.62815454715442
15,2.0,Random,14.653543888463162
16,2.0,Original,18.3965058076008
17,2.0,max($u_t$) Adv,19.51226586200964
18,2.0,$\|u\|_1$ Adv,18.55744959867143
19,2.0,Random,18.42656249038817
20,2.0,Original,20.458931714194073
21,2.0,max($u_t$) Adv,21.634614065117738
22,2.0,$\|u\|_1$ Adv,20.610390781965698
23,2.0,Random,20.38043040252391
24,2.0,Original,18.26026823313554
25,2.0,max($u_t$) Adv,19.403119057457346
26,2.0,$\|u\|_1$ Adv,18.31417162856936
27,2.0,Random,18.44310361863736
28,2.0,Original,19.53906184905702
29,2.0,max($u_t$) Adv,20.699795579401897
30,2.0,$\|u\|_1$ Adv,19.650690920554773
31,2.0,Random,19.460113869857054
32,2.0,Original,17.673182404321185
33,2.0,max($u_t$) Adv,18.715703224804503
34,2.0,$\|u\|_1$ Adv,17.86443914455349
35,2.0,Random,17.729950484769624
36,2.0,Original,14.664835328059208
37,2.0,max($u_t$) Adv,15.588560914859197
38,2.0,$\|u\|_1$ Adv,14.864543201994442
39,2.0,Random,14.820044890074856
40,7.0,Original,21.008743881192316
41,7.0,max($u_t$) Adv,24.69810976149316
42,7.0,$\|u\|_1$ Adv,21.45857443089826
43,7.0,Random,20.972853589258442
44,7.0,Original,21.634422623627717
45,7.0,max($u_t$) Adv,25.50982561956482
46,7.0,$\|u\|_1$ Adv,21.972876679845765
47,7.0,Random,22.35327989484621
48,7.0,Original,16.711387804857548
49,7.0,max($u_t$) Adv,20.374715723302348
50,7.0,$\|u\|_1$ Adv,17.229628851025062
51,7.0,Random,16.937038749616814
52,7.0,Original,14.440328668305263
53,7.0,max($u_t$) Adv,17.881672688890287
54,7.0,$\|u\|_1$ Adv,15.083983435940157
55,7.0,Random,14.813621784088914
56,7.0,Original,18.3965058076008
57,7.0,max($u_t$) Adv,22.202543128566727
58,7.0,$\|u\|_1$ Adv,18.9179691739346
59,7.0,Random,18.6522301895402
60,7.0,Original,20.458931714194073
61,7.0,max($u_t$) Adv,24.275714144423965
62,7.0,$\|u\|_1$ Adv,20.947024604287222
63,7.0,Random,20.29869128576179
64,7.0,Original,18.26026823313554
65,7.0,max($u_t$) Adv,21.913890228069512
66,7.0,$\|u\|_1$ Adv,18.859105688118923
67,7.0,Random,18.665864947118028
68,7.0,Original,19.53906184905702
69,7.0,max($u_t$) Adv,23.211782458161835
70,7.0,$\|u\|_1$ Adv,20.130528617183312
71,7.0,Random,20.15390354910712
72,7.0,Original,17.673182404321185
73,7.0,max($u_t$) Adv,21.45277596986189
74,7.0,$\|u\|_1$ Adv,18.21394926285995
75,7.0,Random,18.014140764512458
76,7.0,Original,14.664835328059208
77,7.0,max($u_t$) Adv,18.29517300143986
78,7.0,$\|u\|_1$ Adv,15.237082424336904
79,7.0,Random,14.776514601062855
80,20.0,Original,21.008743881192316
81,20.0,max($u_t$) Adv,26.99969714098175
82,20.0,$\|u\|_1$ Adv,22.609359090948285
83,20.0,Random,22.398884838773547
84,20.0,Original,21.634422623627717
85,20.0,max($u_t$) Adv,26.999570933189617
86,20.0,$\|u\|_1$ Adv,23.21321492758288
87,20.0,Random,22.984024208568794
88,20.0,Original,16.711387804857548
89,20.0,max($u_t$) Adv,26.999189763504262
90,20.0,$\|u\|_1$ Adv,18.496658680635583
91,20.0,Random,17.455672320167665
92,20.0,Original,14.440328668305263
93,20.0,max($u_t$) Adv,24.410541151525432
94,20.0,$\|u\|_1$ Adv,16.292193267348573
95,20.0,Random,15.470440858927768
96,20.0,Original,18.3965058076008
97,20.0,max($u_t$) Adv,26.999528972518522
98,20.0,$\|u\|_1$ Adv,20.15656089904068
99,20.0,Random,18.6024518906567
100,20.0,Original,20.458931714194073
101,20.0,max($u_t$) Adv,26.999058864112392
102,20.0,$\|u\|_1$ Adv,22.243749881403517
103,20.0,Random,20.561940159547955
104,20.0,Original,18.26026823313554
105,20.0,max($u_t$) Adv,26.999557253282173
106,20.0,$\|u\|_1$ Adv,19.89958158069238
107,20.0,Random,19.524445541534664
108,20.0,Original,19.53906184905702
109,20.0,max($u_t$) Adv,26.99909675887448
110,20.0,$\|u\|_1$ Adv,21.132469293201165
111,20.0,Random,20.57438495781726
112,20.0,Original,17.673182404321185
113,20.0,max($u_t$) Adv,26.99933178094145
114,20.0,$\|u\|_1$ Adv,19.396226529773216
115,20.0,Random,18.07813444940867
116,20.0,Original,14.664835328059208
117,20.0,max($u_t$) Adv,24.877595302261007
118,20.0,$\|u\|_1$ Adv,16.500108082893746
119,20.0,Random,15.7733669426807
